Date,United_Kingdom,England,Scotland,Wales,Northern_Ireland
01/10/2021,6.6,6.0,9.0,12.2,7.9
01/11/2021,7.6,7.2,9.5,10.5,7.9
01/12/2021,7.3,7.0,8.3,10.5,7.9
01/01/2022,8.6,8.1,10.0,12.8,9.9
01/02/2022,8.4,7.9,9.8,12.6,9.9
01/03/2022,7.2,7.0,6.6,10.3,9.9
01/04/2022,10.1,9.6,13.2,14.1,9.7
01/05/2022,10.6,10.7,9.5,13.0,9.7
01/06/2022,6.3,5.6,9.6,8.6,9.7
01/07/2022,13.6,14.4,8.4,15.4,10.5
01/08/2022,11.2,11.6,7.4,13.3,10.5
01/09/2022,8.3,8.3,6.3,11.9,10.5
01/10/2022,11.1,11.6,6.7,11.4,10.1
01/11/2022,8.8,9.2,4.4,10.4,10.1
01/12/2022,7.3,7.6,3.8,8.9,10.1
01/01/2023,5.2,5.8,0.9,5.4,4.8
01/02/2023,4.2,4.7,0.2,5.9,4.8
01/03/2023,2.7,2.7,1.1,4.0,4.8
01/04/2023,1.7,1.9,0.2,-0.1,2.7
01/05/2023,0.9,0.6,1.4,1.5,2.7
01/06/2023,0.1,0.2,-1.9,0.0,2.7
01/07/2023,-0.7,-0.8,-1.1,-0.3,2.0
01/08/2023,-1.0,-1.2,-0.4,-0.2,2.0
01/09/2023,-1.7,-2.0,-0.7,-1.6,2.0
01/10/2023,-2.1,-2.4,-1.3,-2.8,1.5
01/11/2023,-2.6,-3.1,-0.7,-2.0,1.5
01/12/2023,-2.7,-3.3,0.6,-2.2,1.5
01/01/2024,-1.9,-2.7,2.4,-2.0,4.1
01/02/2024,-1.6,-2.5,2.7,-0.8,4.1
01/03/2024,-0.3,-0.9,2.6,0.8,4.1
01/04/2024,0.0,-0.8,2.9,2.0,6.6
01/05/2024,0.5,0.3,0.3,-0.1,6.6
01/06/2024,0.5,0.0,2.0,2.1,6.6
01/07/2024,0.5,0.0,2.7,1.2,6.3
01/08/2024,0.9,0.6,2.0,1.6,6.3
01/09/2024,1.3,1.1,2.3,-0.3,6.3
01/10/2024,2.0,1.6,3.1,2.5,8.4
01/11/2024,2.4,2.0,3.1,2.8,8.4
01/12/2024,3.1,3.1,3.1,1.2,8.4
01/01/2025,3.6,3.4,3.6,4.4,9.0
01/02/2025,4.4,4.4,3.8,3.4,9.0
01/03/2025,5.6,6.1,3.3,3.0,9.0
01/04/2025,2.3,1.8,4.0,4.1,5.6
01/05/2025,2.6,2.3,3.5,4.4,5.6
01/06/2025,3.5,3.2,5.1,2.8,5.6
01/07/2025,3.0,2.8,3.4,2.2,7.1
01/08/2025,2.7,2.4,3.6,1.7,7.1
01/09/2025,2.0,1.5,4.6,2.3,7.1
01/10/2025,1.7,1.4,3.3,1.5,7.1
