"","date_fmt","england","wales","scotland","northern_ireland_note_3"
"1",2011-01-01,164697,120980,124856,112639
"2",2011-02-01,164101,121161,121170,112639
"3",2011-03-01,163378,118483,121416,112639
"4",2011-04-01,165687,122354,124954,110858
"5",2011-05-01,164910,121278,124938,110858
"6",2011-06-01,165071,121453,126264,110858
"7",2011-07-01,167266,121731,128400,108933
"8",2011-08-01,167428,122518,127523,108933
"9",2011-09-01,166907,124054,126976,108933
"10",2011-10-01,165385,120911,124255,105870
"11",2011-11-01,165412,123484,123373,105870
"12",2011-12-01,165046,120627,121178,105870
"13",2012-01-01,164449,120342,120989,99094
"14",2012-02-01,164432,119610,117292,99094
"15",2012-03-01,164584,119522,120685,99094
"16",2012-04-01,166680,121352,120417,99355
"17",2012-05-01,167136,121528,121688,99355
"18",2012-06-01,168713,123077,123523,99355
"19",2012-07-01,169714,122468,122685,96609
"20",2012-08-01,170066,122012,121958,96609
"21",2012-09-01,169532,121152,121080,96609
"22",2012-10-01,168445,120138,119920,94301
"23",2012-11-01,168681,121625,118524,94301
"24",2012-12-01,168440,120386,117574,94301
"25",2013-01-01,166938,120804,117973,92202
"26",2013-02-01,167304,119021,115650,92202
"27",2013-03-01,168234,120226,116783,92202
"28",2013-04-01,169850,119939,118758,93906
"29",2013-05-01,170531,121804,120633,93906
"30",2013-06-01,171916,122504,122327,93906
"31",2013-07-01,173979,121672,123580,95738
"32",2013-08-01,175271,123888,124889,95738
"33",2013-09-01,175686,123171,122961,95738
"34",2013-10-01,175003,121282,122611,96414
"35",2013-11-01,175855,123119,123781,96414
"36",2013-12-01,178011,121748,122231,96414
"37",2014-01-01,177748,124609,122220,98014
"38",2014-02-01,178769,125315,120322,98014
"39",2014-03-01,179421,123531,121877,98014
"40",2014-04-01,183399,125605,124711,101289
"41",2014-05-01,185212,128324,126714,101289
"42",2014-06-01,186892,127844,128414,101289
"43",2014-07-01,189606,128366,130067,103263
"44",2014-08-01,192042,129444,130465,103263
"45",2014-09-01,192263,130873,129726,103263
"46",2014-10-01,191952,129368,129927,104809
"47",2014-11-01,191380,129622,128308,104809
"48",2014-12-01,191986,129628,127668,104809
"49",2015-01-01,191523,128912,129869,104989
"50",2015-02-01,192060,128403,127575,104989
"51",2015-03-01,191999,128044,134523,104989
"52",2015-04-01,194432,129756,128978,108206
"53",2015-05-01,196630,130243,130564,108206
"54",2015-06-01,198149,131119,131762,108206
"55",2015-07-01,201590,131815,133810,111401
"56",2015-08-01,203703,133176,133341,111401
"57",2015-09-01,204263,132795,133035,111401
"58",2015-10-01,204572,133423,132471,112385
"59",2015-11-01,206293,133482,133255,112385
"60",2015-12-01,207315,133999,131549,112385
"61",2016-01-01,208050,132574,131634,112475
"62",2016-02-01,208301,135127,129551,112475
"63",2016-03-01,210224,134091,131107,112475
"64",2016-04-01,211282,134382,131303,116637
"65",2016-05-01,213723,136627,133044,116637
"66",2016-06-01,215668,138664,134949,116637
"67",2016-07-01,217970,138575,136931,118039
"68",2016-08-01,218261,137657,135571,118039
"69",2016-09-01,217952,137271,135236,118039
"70",2016-10-01,217098,138864,134368,118350
"71",2016-11-01,218146,138504,135543,118350
"72",2016-12-01,218965,138659,132996,118350
"73",2017-01-01,218655,138614,133141,118092
"74",2017-02-01,219696,138086,130885,118092
"75",2017-03-01,218812,139940,131731,118092
"76",2017-04-01,221891,141933,135773,120356
"77",2017-05-01,223502,139592,136715,120356
"78",2017-06-01,225265,142401,138220,120356
"79",2017-07-01,227919,143002,142004,121964
"80",2017-08-01,229074,144735,141685,121964
"81",2017-09-01,228519,145083,139082,121964
"82",2017-10-01,228484,146794,139591,122649
"83",2017-11-01,227618,144972,140834,122649
"84",2017-12-01,228837,145617,139761,122649
"85",2018-01-01,227594,144990,141353,123302
"86",2018-02-01,228471,145068,140480,123302
"87",2018-03-01,226996,145837,139202,123302
"88",2018-04-01,228855,145412,142832,125009
"89",2018-05-01,229845,146531,143019,125009
"90",2018-06-01,231277,148527,144308,125009
"91",2018-07-01,234127,150195,146056,127398
"92",2018-08-01,234731,152466,146404,127398
"93",2018-09-01,234380,151747,145738,127398
"94",2018-10-01,233916,152401,145816,129427
"95",2018-11-01,233144,151646,143919,129427
"96",2018-12-01,232616,153612,142681,129427
"97",2019-01-01,230974,150122,144124,128168
"98",2019-02-01,230772,150566,141355,128168
"99",2019-03-01,229408,151406,143985,128168
"100",2019-04-01,230994,152875,145110,129613
"101",2019-05-01,231245,153038,145709,129613
"102",2019-06-01,232112,154250,146925,129613
"103",2019-07-01,234587,155700,148942,132336
"104",2019-08-01,235298,159275,148383,132336
"105",2019-09-01,235691,155676,149037,132336
"106",2019-10-01,234940,157444,148150,132623
"107",2019-11-01,234020,159560,146779,132623
"108",2019-12-01,234237,157588,144623,132623
"109",2020-01-01,234049,154532,147731,133173
"110",2020-02-01,232955,157134,143944,133173
"111",2020-03-01,235204,158163,144948,133173
"112",2020-04-01,232657,151534,146059,133286
"113",2020-05-01,233673,154054,147150,133286
"114",2020-06-01,236731,158488,149474,133286
"115",2020-07-01,239080,159465,148755,136013
"116",2020-08-01,241511,163805,148875,136013
"117",2020-09-01,243733,160994,154532,136013
"118",2020-10-01,245090,166597,156874,139563
"119",2020-11-01,247749,168781,157849,139563
"120",2020-12-01,250168,171640,156254,139563
"121",2021-01-01,249890,169842,157866,141087
"122",2021-02-01,251309,168438,155612,141087
"123",2021-03-01,254407,173661,160963,141087
"124",2021-04-01,250703,171658,154719,146044
"125",2021-05-01,251203,174016,161935,146044
"126",2021-06-01,266129,184345,165261,146044
"127",2021-07-01,250545,176129,168799,150563
"128",2021-08-01,259193,180281,170669,150563
"129",2021-09-01,268041,185561,170829,150563
"130",2021-10-01,259748,186951,170955,150539
"131",2021-11-01,265662,186520,172873,150539
"132",2021-12-01,267793,189741,169213,150539
"133",2022-01-01,270231,191552,173589,155086
"134",2022-02-01,271265,189656,170905,155086
"135",2022-03-01,272225,191471,171510,155086
"136",2022-04-01,274812,195875,175109,160214
"137",2022-05-01,278084,196682,177326,160214
"138",2022-06-01,281116,200277,181120,160214
"139",2022-07-01,286526,203313,182979,166363
"140",2022-08-01,289294,204218,183378,166363
"141",2022-09-01,290185,207696,181639,166363
"142",2022-10-01,289993,208209,182341,165729
"143",2022-11-01,290003,205941,180523,165729
"144",2022-12-01,288198,206563,175560,165729
"145",2023-01-01,285817,201853,175092,162479
"146",2023-02-01,283907,200870,171282,162479
"147",2023-03-01,279592,199167,173352,162479
"148",2023-04-01,280054,195717,175512,164587
"149",2023-05-01,279846,199616,179854,164587
"150",202-06-01,281585,200183,177705,164587
"151",202-07-01,284246,202620,181013,169726
"152",2023-08-01,285690,203852,182593,169726
"153",2023-09-01,284428,204460,180364,169726
"154",2023-10-01,283147,202477,180051,168157
"155",2023-11-01,281026,201778,179184,168157
"156",2023-12-01,278664,202077,176538,168157
"157",2024-01-01,278060,197808,179248,169060
"158",2024-02-01,276935,199272,175883,169060
"159",2024-03-01,276971,200795,177778,169060
"160",2024-04-01,277945,199545,180647,175418
"161",2024-05-01,280824,199330,180418,175418
"162",2024-06-01,281611,204368,181219,175418
"163",2024-07-01,284105,204982,185882,180467
"164",2024-08-01,287345,207303,186339,180467
"165",2024-09-01,287716,203878,184511,180467
"166",2024-10-01,288452,208097,185737,182486
"167",2024-11-01,288236,208705,184945,182486
"168",2024-12-01,288727,206393,182752,182486
"169",2025-01-01,287917,207208,185068,184530
"170",2025-02-01,289630,207031,182771,184530
"171",2025-03-01,293868,207931,183829,184530
"172",2025-04-01,283432,207584,188210,185108
"173",2025-05-01,286651,208341,187096,185108
"174",2025-06-01,291082,210082,191053,185108
"175",2025-07-01,291852,209178,192050,185108
