"","date_fmt","great_britain"
"1",2011-01-01,155288
"2",2011-02-01,154453
"3",2011-03-01,153729
"4",2011-04-01,156195
"5",2011-05-01,155489
"6",2011-06-01,155756
"7",2011-07-01,157796
"8",2011-08-01,157893
"9",2011-09-01,157492
"10",2011-10-01,155799
"11",2011-11-01,155879
"12",2011-12-01,155209
"13",2012-01-01,154534
"14",2012-02-01,154105
"15",2012-03-01,154571
"16",2012-04-01,156374
"17",2012-05-01,156889
"18",2012-06-01,158460
"19",2012-07-01,159168
"20",2012-08-01,159360
"21",2012-09-01,158782
"22",2012-10-01,157712
"23",2012-11-01,157843
"24",2012-12-01,157477
"25",2013-01-01,156481
"26",2013-02-01,156450
"27",2013-03-01,157401
"28",2013-04-01,158917
"29",2013-05-01,159772
"30",2013-06-01,161124
"31",2013-07-01,162906
"32",2013-08-01,164229
"33",2013-09-01,164339
"34",2013-10-01,163631
"35",2013-11-01,164557
"36",2013-12-01,166098
"37",2014-01-01,166369
"38",2014-02-01,167074
"39",2014-03-01,167661
"40",2014-04-01,171352
"41",2014-05-01,173207
"42",2014-06-01,174734
"43",2014-07-01,177172
"44",2014-08-01,179292
"45",2014-09-01,179489
"46",2014-10-01,179161
"47",2014-11-01,178546
"48",2014-12-01,178985
"49",2015-01-01,178132
"50",2015-02-01,178287
"51",2015-03-01,178966
"52",2015-04-01,180456
"53",2015-05-01,182450
"54",2015-06-01,183873
"55",2015-07-01,186941
"56",2015-08-01,188690
"57",2015-09-01,189087
"58",2015-10-01,189313
"59",2015-11-01,190802
"60",2015-12-01,191468
"61",2016-01-01,191982
"62",2016-02-01,192104
"63",2016-03-01,193776
"64",2016-04-01,194672
"65",2016-05-01,196992
"66",2016-06-01,198916
"67",2016-07-01,201003
"68",2016-08-01,201020
"69",2016-09-01,200706
"70",2016-10-01,200016
"71",2016-11-01,200977
"72",2016-12-01,201347
"73",2017-01-01,201111
"74",2017-02-01,201546
"75",2017-03-01,201105
"76",2017-04-01,204271
"77",2017-05-01,205526
"78",2017-06-01,207324
"79",2017-07-01,210020
"80",2017-08-01,210995
"81",2017-09-01,210188
"82",2017-10-01,210349
"83",2017-11-01,209737
"84",2017-12-01,210576
"85",2018-01-01,209797
"86",2018-02-01,210358
"87",2018-03-01,209060
"88",2018-04-01,211037
"89",2018-05-01,211920
"90",2018-06-01,213373
"91",2018-07-01,215987
"92",2018-08-01,216666
"93",2018-09-01,216242
"94",2018-10-01,215933
"95",2018-11-01,214991
"96",2018-12-01,214518
"97",2019-01-01,213214
"98",2019-02-01,212663
"99",2019-03-01,212055
"100",2019-04-01,213569
"101",2019-05-01,213868
"102",2019-06-01,214814
"103",2019-07-01,217159
"104",2019-08-01,217875
"105",2019-09-01,218038
"106",2019-10-01,217435
"107",2019-11-01,216648
"108",2019-12-01,216356
"109",2020-01-01,216475
"110",2020-02-01,215203
"111",2020-03-01,217186
"112",2020-04-01,214920
"113",2020-05-01,216058
"114",2020-06-01,219113
"115",2020-07-01,220901
"116",2020-08-01,223111
"117",2020-09-01,225543
"118",2020-10-01,227347
"119",2020-11-01,229727
"120",2020-12-01,231562
"121",2021-01-01,231476
"122",2021-02-01,232162
"123",2021-03-01,235744
"124",2021-04-01,231746
"125",2021-05-01,233381
"126",2021-06-01,246292
"127",2021-07-01,233992
"128",2021-08-01,241379
"129",2021-09-01,248723
"130",2021-10-01,242258
"131",2021-11-01,247205
"132",2021-12-01,248533
"133",2022-01-01,251229
"134",2022-02-01,251517
"135",2022-03-01,252473
"136",2022-04-01,255327
"137",2022-05-01,258302
"138",2022-06-01,261489
"139",2022-07-01,266223
"140",2022-08-01,268520
"141",2022-09-01,269145
"142",2022-10-01,269134
"143",2022-11-01,268725
"144",2022-12-01,266541
"145",2023-01-01,264330
"146",2023-02-01,262090
"147",2023-03-01,259070
"148",2023-04-01,259596
"149",2023-05-01,260481
"150",2023-06-01,261464
"151",2023-07-01,264267
"152",2023-08-01,265742
"153",2023-09-01,264408
"154",2023-10-01,263239
"155",2023-11-01,261408
"156",2023-12-01,259132
"157",2024-01-01,258881
"158",2024-02-01,257491
"159",2024-03-01,257956
"160",2024-04-01,259151
"161",2024-05-01,261316
"162",2024-06-01,262374
"163",2024-07-01,265177
"164",2024-08-01,267901
"165",2024-09-01,267647
"166",2024-10-01,268694
"167",2024-11-01,268422
"168",2024-12-01,268257
"169",2025-01-01,268107
"170",2025-02-01,268988
"171",2025-03-01,272494
"172",2025-04-01,265235
"173",2025-05-01,267568
"174",2025-06-01,271810
"175",2025-07-01,272533
